Bleu-score || Original Commit Message || Generated Commit Message
29.033 || add chambers of xeric and tob inventories || add a method to get current id from a method
29.033 || add elite map clue at zul andra <num> || fix bug by main <num> <num> <num> <num> d <num>
29.033 || rename oc low detail to object composition low detail || set the minimum size of the size to set set
29.033 || export a few region members || add a bit to the shader method to the case
29.033 || updated the tutorial and some javadoc comments || add a method to ensure the file is not set
29.033 || revert better error message when passing non seqs to seq || add a convenience method to the list of the value
29.033 || allow foo meaning the function in namespace foo || add a todo to the list of the first class
29.033 || do translation in compare to namespace name patch from chouser || add a convenience method to the case of the class
29.033 || made munge public upped smap range to <num> || add a todo to the list of the class name
29.033 || set tooltip with refresh description to the correct button <num> || add a null check for the top of the path
29.033 || add support for androidx appcompat activity || fix bug activity activity crash when activity is not found
29.033 || revert fix possible deadlock in serialized background <num> || fix bug don t crash if there is no effect
29.033 || allow abstract eapplication not registered in the manifest || add a todo to the check for the android <num>
29.033 || fix a class cast exception || add a type type to the type type type type
29.033 || removing warnings with a suppress warnings all || add a test to ensure that the is not found
29.033 || added a view parameter for test purposes || add a method to add a method to get activity
29.033 || revert default topic type to non partitioned <num> || add a method to disable the rest of dns properties
29.033 || allow bk client to support old bk protocol <num> || add a check to ensure the timeout is not called
29.033 || uncheck the generic converting || add a null check to the list of the table
29.033 || add annotations on find first and find last method || fix bug to use the new field of the last
28.936 || add table rule test case || add test case
28.912 || moved some action name constants to the same place as the others in the active scan api cosmetic change || add a null check for the application type <num> html <num> html <num> html <num> a <num> d
28.819 || allow dashes as part of the field name || add a test for the field name
28.793 || add test for removal of byte buddy stacktrace elements || add test for the list of a class
28.777 || add a test for method can be static || add test for the source source to the test
28.777 || add a regression test for b <num> || add test for reflection type test case test case
28.777 || get column index final string column name || add column name to the list of column name
28.777 || add unit test for issue <num> || add testcase issue <num> to the build <num> html
28.777 || fixed a bug of the compiler || add a todo to the end of the loop
28.777 || add testcase for <num> || add testcase issue <num> <num> html <num> html <num>
28.768 || refactoring static method test descriptor in regression test mode gets the pmd regress property || add a method to ensure the string is not set to the first
28.751 || removed an unused field || remove unused code <num> <num> <num> <num> <num> <num>
28.751 || expanding layout tag to support permission instead of secured || add a convenience method to get the user context
28.751 || fixed an npe when removing a slave || add a method to get the get name name
28.751 || added the excludes pattern support || add a couple of the workspace to the workspace
28.751 || add rbfnet || add a todo to the list of the loop
28.751 || include public dependencies in to string || add a couple of the name to the name
28.751 || add info optional parameter || add a test to ensure the new property name
28.751 || adding icon to main window || add a little more information to the app manager
28.751 || bring window to front ci skip || add a bit more information to the console <num>
28.751 || add assertions || add a method to ensure the to existent field
28.751 || add unique clause to column decorator || fix bug in case of sync of a column
28.751 || modify the cat nav || add a todo to the output of the first
28.751 || modify the analyzer || add a todo to make the new input input
28.751 || refactor the transaction || add comment to the case of the new field
28.751 || modify the default action || add a method to get config to the build
28.751 || modify the cat fiter error handler || add a convenience method to get the current url
28.751 || modify the unused url pattern || add a more information to the dump to the
28.751 || modify the unused jsp || add a new config to the config to the
28.751 || add more pages for alert doc || add a method to get type to get type
28.751 || add a little code || add support for android <num> <num> to the case
28.751 || modify the file || add a todo to be able to the dump
28.751 || modify the client components configurator || add a todo to the list of the cli
28.751 || modify the cross handle default sort type || add a method to get the user action action
28.751 || modify the cat problem || add a todo to the list of the test
28.751 || ignore metric test case || add a test to make the new error message
28.751 || modify the cat || fix bug to the case of the last commit
28.751 || modify the subtitle || add a bit more information to the workspace page
28.751 || update release notes refs <num> || add test for issue <num> to the test case
28.751 || convert xpath titled panes to tool bar titled panes || add a bit more information to the menu menu
28.751 || add resource links || add a couple of the method to make it
28.751 || fix bug with xpath exceptions in the designer || add a more descriptive test for the language language
28.751 || deprecate the old designer s classes || add a <num> <num> to the the language language
28.751 || add clone method must be public rule || add test for the list of a more information
28.751 || remove references to java || add a method to the list of the method
28.751 || eliminated a param reassign thanks brant || add a convenience method to file path to string
28.751 || ignore methods with parameters when comparing with super type || add a null check for type type to string
28.751 || revert fix failing test replication endpoint test || add a test to ensure sure least <num> <num>
28.751 || corrected a failed testcase regarding overlapping ranges || add a missing method to the list of range
28.751 || adding test ambiguous name default to package name || add a method to get the ast type type
28.751 || add print astatic import || add test for the get expression to the test
28.751 || improve error message produced by string transformer || add a convenience method to string to be able
28.751 || rename constructor argument to align with actual usage || add a <num> <num> version to the the string
28.751 || don t use port <num> for unit tests || add a port to the cli to the cli
28.751 || remove deprecated code || remove unused import <num> <num> <num> <num> <num> <num>
28.751 || remove comments used to debug || fix test to the test to string to string
28.751 || add a missing reset of the property resolved flag || fix bug to the last commit to the build
28.751 || remove the catalina dependency from jasper || add a method to the list of the operator
28.751 || improve error message for compile time constant || add a todo to the end of the error
28.751 || prevents a history builder from mutating what it built || add a null check to the list of the
28.751 || modify generated keys result set test java || add a test for the fields in the fields
28.751 || add init derived index and distinct indexes || add null check to the get of the column
28.751 || add role default key || add a todo to the list of the token
28.751 || adjust test case || fix test to the list of a hash code
28.751 || add methods for merkle tree || add a convenience method to get the new path
28.751 || modify the gas value about storage || add a method to get the current data type
28.751 || modify the descover score || fix a bug in the test case to make
28.751 || add cpu limit into dynamic properties store || add a byte byte method to the byte buffer
28.751 || add the disconnect notice || add a couple of a method to avoid npe
28.751 || replace iteration to bulk || add a bit more logging to the peer address
28.751 || add min participation rate in config || add a bit more logging to the log message
28.751 || add witness schedule unit test || add a method to get the chain of wallet
28.751 || improve unit test account store test || add a byte buffer test to the byte buffer
28.751 || add unittest fork || add a todo to the list of the transaction
28.751 || add some assertions || add a bit more convenience method to make it
28.751 || add cmt || add a bit more trace logging to help failure
28.751 || updated the test case || add test for <num> <num> <num> <num> <num> <num>
28.751 || fixed the botched merge || add a test for the test case to the
28.751 || updating java doc of ref eq || add a convenience method to the list of this
28.751 || add connected method || add a bit more logging to the log message
28.751 || fix a memory leak in custom scan dialog || add a bit more method to the app view
28.751 || update navigation bar change listener || add a method to hide the app bar button
28.751 || print the poll api execption || add a method to get the new node name
28.751 || adding apache license header to new testing class || add a test to ensure that is not null
28.751 || update case state on case instance end <num> || fix test test test case test failures test failures
28.751 || cleaned up http task request config || add config config to the config config <num> <num>
28.751 || update banner view java || add a couple of bounds methods to the view
28.751 || add live tv flavor <num> another firetv fix || add a few more specific methods to the lint
28.751 || remove json plugin || add support for spring plugin plugin <num> <num> html
28.751 || update description of api system restart || add a couple of the config to the server
28.751 || add index on project measures person id || add author <num> <num> <num> <num> <num> d <num>
28.751 || deprecate analysis type || add a convenience method to get the type type
28.751 || improve stability of semaphore updater test || add a test to ensure the test case fails
28.751 || remove trace log || remove unused code <num> <num> <num> <num> <num> <num>
28.751 || fix it || fix test failure to use of string to string
28.751 || fix it || fix test failure to the end of query query
28.751 || add hidden config option || add a bit more information to the app view
28.751 || rebuild jump graph in inliner || fix a bug in the last commit to the
28.751 || incorporate feedback from the pr || add a method to get the default field name
28.751 || add translator was still wrong || add a convenience method for the file file to
28.751 || fixed the version number || add a null check for the <num> to the
28.751 || make nth on subvec throw exception for negative indices || add a convenience method to make the new loop
28.751 || add testcase for multi property || add a method to get the current id id
28.751 || add java doc info || add support for the new operator in the parser
28.751 || update jcode model to <num> <num> || add a todo to the build to the build
28.751 || add test for subclasses in touch || add a little to the button to the button
28.681 || hive <num> jira consecutive string literals should be combined into a single string literal jonathan chang via jvs || add a null check to make sure we are a a way of a non existent node
28.681 || hive <num> job name for alter table t archive partition p is not correct sohan jain via pauly || remove dead code <num> <num> <num> f <num> f <num> f <num> f <num> <num> <num> <num>
28.487 || ignore test start rule without eof until we decide on the desired behavior || add test for issue <num> to the utf <num> to the test
28.444 || change the version to <num> <num> <num> || add <num> <num> <num> <num>
28.444 || add support for eu central <num> region || add support for setting zone
28.444 || commit a new case for issue <num> || add test for issue <num>
28.444 || add test for method injected ormlite daos || add test for <num> <num>
28.444 || add test for method injected application class || add test for <num> <num>
28.444 || add test for subclasses in long click || add test for shadow activity
28.433 || clarifying the responsibility of the caller callee || fix a bug in the service service <num>
28.433 || put url in the error message as well || add a todo to the html <num> html
28.433 || use a dedicated list type || add a convenience method to the new method
28.433 || add japanese resources || add a method to get the owner name
28.433 || add japanese resources || add a method to the run <num> <num>
28.433 || improved the message <num> || remove unused import <num> <num> html <num> f
28.433 || adding new lines for better readability || add a couple of test for the test
28.433 || added a bit mroe documentation || add a todo to be able to the
28.433 || add box store call in tx no exception || add a more convenience method to the build
28.433 || add sanity check in bag constructor || add a todo to the list of this
28.433 || skip ads and channels from test || fix test to the test to the test
28.433 || skip ads and channels from test || add test for issue <num> to the test
28.433 || remove last uses of method indirection || add a method to get message to string
28.433 || removed a system out println from a test || add testcase issue <num> to a couple of
28.433 || add infinity reading tests <num> || add a test for the new shape test
28.433 || follow up new behavior of rename from test || fix test test to ensure it is not
28.433 || adding info command with section to pipeline || add a method to the get response header
28.433 || hive <num> adding more comments || add version <num> <num> <num> <num> <num> <num>
28.433 || add a comment description || fix bug to use a different id id
28.433 || add support for sending to temporary reply queues || fix bug to send message <num> <num> <num>
28.433 || add batching in receive thread executor queues || add config config to config <num> <num> <num>
28.433 || fix the condition of handling xiaomi phone || add a <num> <num> uid to the version
28.433 || get image format resources res int id || add log to get type to the log
28.433 || remove reference to junit framework || add a test for the test case to
28.433 || modify the problem jsp || add a todo to get the new type
28.433 || add televisionwallcr crash log domain || add a couple of method to the config
28.433 || modify the handler || add a null check for the string string
28.433 || modify the service || add support for url to the new url
28.433 || modify the npe || add project name to project to the build
28.433 || modify the routerconfig builder || fix bug to use the right thread name
28.433 || modify the phoenix agent || add log to the merge <num> <num> <num>
28.433 || modify the config file || add config config to config config <num> <num>
28.433 || modify the status || add a method to get the user url
28.433 || modify the default page || add a null check for the string name
28.433 || modify the task || fix a typo to the end of the
28.433 || modify the login jsp || add a action action to the action action
28.433 || modify the manager || fix bug to the build to the build
28.433 || modify the domain manager || fix bug to the project to the build
28.433 || modify the reload task || add a null check to the log message
28.433 || modify the sms function || add a new logging to the log message
28.433 || fix bug log || fix a crash when sending the remote client
28.433 || modify the domain manager sleep time || add a null check to the log to
28.433 || modify the dependency bug || add a bit more message to the message
28.433 || modify the rule update page || add comment to the list of the user
28.433 || modify the cat || add a convenience method to show the header
28.433 || modify the cat || add testcase issue <num> to the end of
28.433 || modify the cat || fix a bug in the last commit to
28.433 || fix the fix for <num> || add a null check to the last commit
28.433 || moving all the scripts from etc to bin || add a test for the implicit type attribute
28.433 || troubleshooting the c part of this || add a method to get the source source
28.433 || add getters to javadoc inline tag || add a null check for the text text
28.433 || fix bug in lazy type || add a method to get type type type
28.433 || issue <num> add csm element none || add a method to get the ast source
28.433 || issue <num> adding variadic symbol in method signature || add a couple of method to the test
28.433 || remove references to old java parser versions || add a test for the source source to
28.433 || add error prone analyzer <num> || add a null check for the source source
28.433 || add rfc references || add a convenience method to the servlet <num>
28.433 || add no jmx flag || add a convenience method to the web server
28.433 || include error message in debug log || add a warning to the message to the
28.433 || fix a spot bugs warning || add a bit more logging to the connection
28.433 || remove test message comparison || add test for issue <num> <num> <num> html
28.433 || handle exceptions when trying to flush the response || add a bit more info to help info
28.433 || add i <num> n error messages || add a null check to the ast parser
28.433 || add new methods || add a null check for the context manager
28.433 || fix an npe caused by r <num> || remove unused code <num> <num> html <num> <num>
28.433 || correct a typo in documentation || add a null check to get server server
28.433 || register the correct object after the refactoring || add a null check to the log message
28.433 || fix the javadoc and eclipse warnings || add a method to get the target target
28.433 || mark the implementations of deprecated methods as deprecated || add a method to get the field type
28.433 || simplify the code || remove unnecessary code <num> <num> html <num> <num>
28.433 || made a larger auto bind property || add a convenience method to the set value
28.433 || allow server extensions improved files test || add a convenience method to the server server
28.433 || add immutable collection to undefined equals || add a test for the type type type
28.433 || fix an npe in asthelpers target type || add a todo to the get type type
28.433 || disable restrict to enforcer by default || add a couple of method to suppress warnings
28.433 || remove redundant calls to string format || remove unused code <num> <num> f <num> f
28.433 || fix a crash handling bug || add a <num> <num> to the log log
28.433 || enable default charset as a warning || add a couple of method to suppress warnings
28.433 || update download model cache bug || update readme <num> <num> <num> <num> <num> <num>
28.433 || modify index token assert java || add test case to the list of index
28.433 || add child filed || add doc <num> <num> html <num> <num> e
28.433 || modify data source yaml || add test to the list of source source
28.433 || add delay time to kill self || add a null check for the app name
28.433 || add sample for detecting first launching || add a new progress to the app view
28.433 || add checkstyle rules fix explicit initialization || add a convenience method to the response body
28.433 || allow digits in url schemes per rfc || add a test for the user user url
28.433 || add mobile plurk api || add a convenience method to get token request
28.433 || add plurk api || add a convenience method to get token token
28.433 || add zkproof store || add a method to get the data data
28.433 || add hard fork logic || add a todo to make it can be
28.433 || fix the sonar error || add a more logging to the log message
28.433 || add some interface || add a bit more logging to prevent exception
28.433 || delete check point before create new check point || add log to delete store to delete store
28.433 || add wheter transaction is null s check || fix bug to use the correct transaction name
28.433 || modify the score || fix a bug in the tcp ping channel
28.433 || add error code in wallet || add a bit more method to the message
28.433 || add index || add a method to get the current version
28.433 || fix bug for revoking store test || add test case to the list of test
28.433 || add config p <num> p version || add a method to get the node chain
28.433 || add default constructor || add a convenience method to the get method
28.433 || modify the argument type of the constructor || fix bug by main the last block block
28.433 || add trondatabase || add a method to get source source source
28.433 || modify kafka default host || add default size to auto pool <num> <num>
28.433 || remove wrong restriction for persistable bundle compat || add a null check for the key value
28.433 || ignore null intents in platform alarm service || fix bug from android <num> job service <num>
28.433 || use junit <num> api || add test for groovy <num> to the test
28.433 || indicate no active network || add a way to send the network type
28.433 || apply rules set by notification action || fix bug by main <num> <num> <num> <num>
28.433 || add license to class header || fix test to the test to the test
28.433 || fixed a couple of find bugs warnings || add a null check for the string string
28.433 || adds some comment on the mock naming strategy || add a test for the new type type
28.433 || simplified the junit specific handling || add a test for the new type type
28.433 || calculate boundaries for stacked bar chart || add a couple of method to get bar
28.433 || include installation directory in support info || add a method to get the new directory
28.433 || remove workaround for script engine name match || add a method to the goog script script
28.433 || add mongo db and couch db technologies || add a null check for the string name
28.433 || reduce log level in dialog modify user || add a bit more method to the user
28.433 || add initiator constant for forced browse requests || add http client http client client client factory
28.433 || update correct button copy and paste bug || add option to show the default button button
28.433 || update image data source java || fix bug to use the new image loader
28.433 || modify unit test of producer || fix test failure test case test failures hudson
28.433 || update rx title || add a getter to hide the title bar
28.433 || update wording for search engine in system info || add search search search search search search search
28.433 || add qg large test || add a null check for the server server
28.433 || fix quality flaws in resource key migration test || add a test for the old plugin name
28.433 || revert jruby facade get rule repository string || add a method to get the default type
28.433 || add some comments || add comment to show avatar to the user
28.433 || add <num> seconds to prevent false positives || fix test to use of string to string
28.433 || add some comments || add comment to get user to user name
28.433 || revert fix compatibility with java <num> || remove unused import <num> <num> <num> e <num>
28.433 || save current discord user in discord service || add a method to get the user user
28.433 || prevent tag tab scrolling to scroll bank interface || add a bit more method to the lint
28.433 || add null check for game canvas || add a bit more button to the terminal
28.433 || add experience tracker widget widget info || add a method to get group id id
28.433 || add support for getting runelite launcher version || add a method to get the user name
28.433 || disable overlay dragging mode on focus lost || add a couple of method to enable focus
28.433 || implement hash code for multi array type || add a method to get the hash message
28.433 || update the use of machines in che <num> || improve exception message when the server fails fails
28.433 || use a more appropriate gauge builder method || add a way to disable the app name
28.433 || sprinkle bits of javadoc on the classes || add a new app manager to the workspace
28.433 || return back popup loader for stopped workspace <num> || add a couple of workspace to the workspace
28.433 || delete workaround in the selenium test || fix bug to the end of the current
28.433 || suppress talkative log output || add log to catch exceptions in log log
28.433 || fixing more static accessed from instance warnings || add a bit more dialog to the message
28.433 || update currency test <num> java || fix test to the end of a string
28.433 || add enum ordinal test || add testcase to the end of the model
28.433 || add test for subclasses in checked change || add a bit more method to the lint
28.433 || add aa version in initialize log || add support for android <num> <num> <num> <num>
28.433 || add aa version || add support for adding parameter to the model
28.433 || fix comments of schema compatibility strategy <num> || add a null check to the schema schema
28.433 || build responses when returning from web service <num> || add a <num> <num> to the cli version
28.431 || hive <num> array index out of bounds exception in generic udftrunc initialize rajesh balamohan via ashutosh chauhan || add a null check to use case of the case of the case of the enum
28.431 || hive <num> llap output format service increase netty event loop threads rajesh balamohan reviewed by jason dere || remove unused code <num> <num> <num> <num> <num> <num> <num> <num> a <num> a <num> d
28.396 || add downloads menu item to detail fragment || add a check to show the menu item when it is no set
28.375 || add override to hush warnings manually did some of https github com antlr antlr <num> pull <num> || add a null check to make the value of the string value to make it
28.364 || add internal error message to debug log message || add a convenience method to the message
28.364 || add process memory metrics process thread metrics <num> || add debug metrics to the system memory
28.217 || update description of the xpath property to be technically accurate || add a todo to the case of the case of
28.217 || add java <num> support to the ecj jsp compiler || add a couple of option to the set option option
28.217 || add interface to get all services || add a method to get the user in the user
28.172 || add early detection of input matrix size for linear and ridge regression || add a couple of method to make of easier in shape
28.172 || added new option pane to allow the user to select custom rulesets || add a bit more information to the output of the first
28.172 || fix an ide nag only fix one to trigger a ci build || add a todo to make the output of the file file
28.172 || add an explicit check for null it s there in the facades || add a todo to the servlet type <num> <num> html <num>
28.172 || add statement code block overloads for code block and method spec <num> || add a test for the type type type to the class
28.172 || enable power save mode only when not installed from the play store || add a couple of the phone method to enable device manager
28.172 || remove <num> commented out lines add a debug log when excluding plugin || remove unused code <num> html <num> <num> html <num> <num> <num>
28.157 || hive <num> simplify join predicates for cbo to avoid cross products john pullokkaran via ashutosh chauhan || add a test to make sure we are an ast filter in the ast filter
28.122 || fix bug when fetching unavailable content || fix bug <num> <num> html <num> d
28.122 || adding the type mention method || fix bug to the type type type
28.122 || fix bug for test || fix bug to use a single data
28.122 || add test predicated keywords || add test for <num> <num> to string
28.122 || fixing flaky test in issue <num> || add testcase issue <num> to the build
28.084 || hive <num> test generic udfpower should use delta to compare doubles szehon ho via brock noland || add test for issue <num> to the list of the list of a test
28.084 || add max wait attribute that the sender pool will wait when there are no available senders || add a bit more timeout to the max connection <num> <num> <num> <num> f
28.070 || adding a convenient base class || add a null check for the string
28.070 || added another utility method || add a convenience method to the string
28.070 || improved the e mail address guessing <num> || add a convenience method <num> <num> html
28.070 || fixed a bug in handling trivial axis || add a todo to the row to
28.070 || use the aggregated result || add a convenience method to the build
28.070 || allow access from the derived classes || add a todo to the workspace checker
28.070 || applied a patch in issue <num> || add a convenience method to make them
28.070 || applied a change on behalf of jesse || add a convenience method to the message
28.070 || prevent lambda serialization exception on to string || add a method to the log message
28.070 || add train with default properties || add a null check to make it
28.070 || pass only negative examples to negative child || add a todo to the ast check
28.070 || add row in summary || add a null check to the case
28.070 || add more api demo || add a todo to the log message
28.070 || remove now untrue warning on the parser || add a todo to the type check
28.070 || fix a documentation typo || add a todo to the parser parser
28.070 || add option request test || add log to log message <num> <num>
28.070 || exclude in long list for mssql server || add test for parsing of query query
28.070 || rename null safe primitive transformer || add a null check for type type
28.070 || modify the markdown || fix a bug in the socket handler
28.070 || modify the status || add a request to the request request
28.070 || add the log || fix a bug in the file chain
28.070 || add the config || add app url to app app url
28.070 || modify the duration || fix bug to use the new time
28.070 || modify the status || add a method to show the screen
28.070 || modify the compile error || add testcase issue <num> to the end
28.070 || modify the executor || add a comment to the string parser
28.070 || modify the cross anazlyer || fix a bug in the app name
28.070 || modify the sql || add a comment about the default config
28.070 || modify the ip || add a null check to the address
28.070 || remove the session || fix bug by default to the app
28.070 || add the dal version || add a method to get data name
28.070 || mofidy the pom || add a todo to the server server
28.070 || modify the import error || add a todo to the log message
28.070 || modify the queue size || fix a bug in the channel handler
28.070 || modify the cat problem || add test to the list of transaction
28.070 || modify the problem stack || fix bug to use the correct build
28.070 || modify the dependency topology graph || fix bug to use the correct build
28.070 || modify the dependency analyzer || add a todo to the stack trace
28.070 || modify the listener event data || add a todo to the log message
28.070 || modify the mail title || add a todo to the log message
28.070 || keep the full list of previous comments || add a comment about the token token
28.070 || finished the tests || add a todo to the rule rule
28.070 || tightened up xml a bit || add a null check to prevent crash
28.070 || adding support to set column information || add a method to get the name
28.070 || criteria better test for not operator || add test to string to the test
28.070 || implementing reflection enum declaration get constructors <num> || fix test test to use junit <num>
28.070 || fixing tests in statement context test || add a test for the type type
28.070 || remove a source of potential deadlocks || add a todo <num> <num> html <num>
28.070 || remove another instance of extra socket close || remove unused code <num> <num> <num> <num>
28.070 || fix a couple of spotbugs warnings || add a test for the old property
28.070 || add log messages || add a <num> property to the configuration
28.070 || fix potential npe in query timeout interceptor || add a timeout to the log message
28.070 || fix broken message || add a todo to the log message
28.070 || deprecate unused setters || remove unused code <num> <num> <num> <num>
28.070 || update comments test case name || add a test for the default server
28.070 || fix some eclipse warnings in the tests || add a test for the html change
28.070 || suppress deprecation warnings on the implementation classes || add request request request to the request
28.070 || add nonnull for methods run supplier with || add a convenience method to the build
28.070 || update warning message for immutable enum checker || add a test for the linter pass
28.070 || remove a left over print statement || add a todo for the type type
28.070 || relax var checker for fields || add a test for the old field
28.070 || add an alt name for guarded by || add a todo to the type check
28.070 || add query assisted encrypt || add a test for the test case
28.070 || add encryptor || add a null check to the configuration
28.070 || add renew || add source source source source to source
28.070 || delete type || add a type to the type type
28.070 || remove sout || remove unused code <num> <num> html <num>
28.070 || add catch final exception ex || add log to error message <num> <num>
28.070 || modify load sharding config map || add a method to the config source
28.070 || add plugin assets access sample || add a little more descriptive error message
28.070 || add access library resource in code sample || add a new activity to the activity
28.070 || fix the class new || add a todo to the log message
28.070 || modify variable name pk d || fix bug to use a field name
28.070 || test the valid proto || add a transaction id to the message
28.070 || add clear abi test hard fork || add support for <num> <num> <num> <num>
28.070 || update deferred transaction capsule java || add a transaction address to the transaction
28.070 || modify process transaction || fix a bug in the transaction chain
28.070 || add transaction log || update transaction id to use new transaction
28.070 || add solidity thread num config || add log to the log message to
28.070 || add some interface || add a comment about the last info
28.070 || add desc about asset key || add a couple method to the statistics
28.070 || implement get transaction by id on soliditynode || fix a bug in the transaction transaction
28.070 || throw all exception and show fail || add a warning about the exception message
28.070 || add trx trace to pay bill || add a test for the new api
28.070 || adapt the beat env || add a comment about the wallet wallet
28.070 || add latest consume time api || add a couple of account to wallet
28.070 || modify the tostring method || add a method to get block block
28.070 || get home node || add node node node to node node
28.070 || modify shaha <num> equal method || remove redundant code <num> <num> <num> <num>
28.070 || modify kafka default host || add default size to the auto pool
28.070 || add precondition check when specifying the superclass || add a test for type type type
28.070 || make sure camera always restarts after video || update camera camera <num> camera camera camera
28.070 || revert a <num> a <num> d <num> || add a couple of the package name
28.070 || update python from <num> to <num> || add a todo to the parser parser
28.070 || enable perf tests for python and javascript || add a doc for the target name
28.070 || revert switch network early || add a network to wifi wifi wifi
28.070 || require android <num> for network callbacks || add log to enable disable <num> <num>
28.070 || make chromium a user application || add a new intent to the intent
28.070 || show all application for port forwarding || add a todo for the rule rule
28.070 || set settings activity title || add action bar title to action bar
28.070 || found the corresponding unity class || add a convenience method to the string
28.070 || set default output format to plain text || add a convenience method to make source
28.070 || renamed some fields || add missing missing checks for missing fields
28.070 || tweaked the javadoc || added a convenience method to the test
28.070 || update generics mockito annotations test java || add test for the get type type
28.070 || fixed the problem with tests || add test for the get type type
28.070 || add project links || add a null check to prevent npe
28.070 || keep env vars for gradle build || update gradle <num> to use <num> <num>
28.070 || keep all entries when decoding a user || add a bit more convenience method to
28.070 || set a name to shutdown threads || add a null check for the server
28.070 || reset tab offsets when removing all fields || add tab tab to the tab tab
28.070 || add break api through the extension hook || add serial <num> version to <num> <num>
28.070 || update filter condition || add a null check for the filter
28.070 || disable aem rules plugin || add a test for the plugin plugin
28.070 || fix quality flaws || fix bug to use utf <num> <num>
28.070 || fix quality flaw || fix bug to use the key key
28.070 || improve input file javadoc || add a convenience method to file file
28.070 || fix quality flaw || fix bug file file does not exist
28.070 || fix quality flaw || fix bug by default to the server
28.070 || rename server temp folder || add a test for the server server
28.070 || working the assembly for packaging || add a convenience method to the class
28.070 || fix some quality flaws || fix bug to use a realm id
28.070 || depreciate method || add a convenience method to the build
28.070 || add item mapping for tormented bracelent or || add a null check to get id
28.070 || add berserker necklace prayer bonus || add a null check to get id
28.070 || add wilderness weapons item mappings || add a null check to get id
28.070 || add simple info log with startup time || add a todo to the dump manager
28.070 || disable osb prices by default || add a test for the default config
28.070 || add dragonfire charged armour item mappings || add a null check to get id
28.070 || add chivalry piety and preserve prayers || add a todo to the case of
28.070 || fixed a bug in javadoc comments || add a test for the source stream
28.070 || add authentication for ws connections <num> || add a convenience method to the config
28.070 || add test dependensies || add a null check to get user
28.070 || improve message about unreachable workspace <num> || add a couple method to the workspace
28.070 || add small fixes || add a missing logging to the build
28.070 || add timezone in setup || add testcase issue <num> to the build
28.070 || add comment info || add feature flag for feature for <num>
28.070 || add deprecated method for compatible || added a convenience method to the slave
28.070 || remove unused serialize feature || add support for feature for <num> <num>
28.070 || remove trace overload with three arguments || remove unused code <num> <num> <num> <num>
28.070 || add test for subclasses in editor action || add a method to show the text
28.070 || handle data schemes in receiver handler || add a method to the data data
28.070 || add many <num> many eager query function || add a null check to prevent npe
28.070 || adding observes with wifi signal level || add a todo to disable wifi service
28.070 || allow group admin to export pipelines || add a missing string to the config
28.070 || improve error message and remove duplicate routes || add a method to the log message
28.052 || add convenience method builder add comment || add a convenience method to get the string of the builder to string to
27.971 || hive <num> lack of semi colon in q file leads to missing the next statement edward capriolo via namit || add a bit more information to help <num> <num> <num> <num> f <num> f <num> f <num>
27.971 || don t look for mask if it isn t there processing of short frames was broken on the client || fix bug to be end to the end of the end of the end of the message
27.919 || remove unnecessarily synced code || remove unused code
27.919 || remove now dead code || remove unused code
27.919 || remove old debug code || remove unused code
27.919 || deprecate unused unnecessary code || remove unused code
27.919 || enable test case <num> || fix test <num>
27.919 || remove some hacky code || remove unused code
27.919 || remove some unnecessary code || remove unused code
27.919 || remove outdated code comment || remove unused code
27.914 || add javadoc to extended user permission dto || add null check to get user
27.914 || add home tag to default world plugin || add default config to the config
27.857 || hive <num> npe due to null environment context in ddltask nishant bangarwa via ashutosh chauhan || fix bug to use the correct name of the current store to the build
27.857 || hive <num> race condition in dag execute tasks for hive namit jain via siying dong || fix bug to be job <num> <num> <num> f <num> f <num> f <num>
27.818 || revert r <num> as it introduced a regression of its own || add a todo to the list of the first class
27.818 || refactor the source of the database to change the parent variable || add a method to get data data to the data
27.818 || add computed state to dfa before moving to full context simulation || add a todo to make sure it is not null
27.818 || forcing termination of pool when timeout is reached in concurrency test || fix test to use the correct instance of a test
27.818 || use a linked hash map to ease assertions in unit tests || add a todo to get the rule of the rule
27.765 || add a comment for type param value || add support for type type type type type type type type
27.765 || add unit test for start rule without eof || add test for issue <num> to string to string to string
27.684 || hive <num> spark client impl swallows exception messages from the remote driver sahil takiar reviewed by xuefu zhang || add a todo to the job job <num> <num> <num> f <num> f <num> <num> <num>
27.684 || hive <num> hive built in ngram udaf fails when a mapper has no matches naveen gangam via brock || fix a bug in the last commit to make it to be able to the first
27.646 || return a sensible error message || fix a typo to the build
27.646 || add todo for sammon s mapping || add a bit more convenience method
27.646 || add reference || add a bit more convenience method
27.646 || add comments on computing vx again || add a bit more convenience method
27.646 || add constructor to mixture component || add a bit more convenience method
27.646 || fix test data loading || add test to the test to
27.646 || add demo command || add a bit more convenience method
27.646 || update play video activity java || update readme drawable to white <num>
27.646 || add group || add support for android <num> <num>
27.646 || improve sqlserver test coverage || add a test for the test
27.646 || improve type mapping <num> || add test for new type type
27.646 || add dependency || add support for new <num> <num>
27.646 || modify the version and fix bug || add app name to the app
27.646 || fix the cross anzlyzer || fix bug by default discovery manager
27.646 || modify the domain filter || add a convenience method to the
27.646 || modify the code || add a config to the config
27.646 || review the code || fix a typo to the build
27.646 || modify the config || fix bug to the last commit
27.646 || modify the config || add config config to config config
27.646 || modify the metric config manager || add config config to config config
27.646 || modify the url pattern reload time || add a config to the config
